Table Name in Schema 1,Attribute in Schema 1,Table Name in Schema 2,Attribute in Schema 2,Attribute Mapping Notes / Remarks
CUSTOMER,CUSTOMER,Customer,CustomerId,Primary identifier - Source uses char(3) code vs Target uses uniqueidentifier GUID
CUSTOMER,CUSTOMER,Entity,CustomerId,CUSTOMER also maps to Entity table's CustomerId foreign key reference
CUSTOMER,CLIENT_GROUP,Customer,CustomerTypeId,Client grouping - Source uses char(1) code vs Target uses uniqueidentifier for type classification
CUSTOMER,CLIENT_GROUP_DESCRIPTION,Customer,Description,Descriptive text for customer/client group - Source char(45) vs Target varchar(255)
CUSTOMER,CUSTOMER_NAME,Customer,CustomerName,Primary customer name - Source char(45) vs Target nvarchar(128) with Unicode support
CUSTOMER,CUSTOMER_NAME2,Customer,CustomerName,Secondary name field in Source; Target has single CustomerName field only
CUSTOMER,CUSTOMER_ADDR,Customer,BusinessPartyId,Source has direct address fields; Target uses BusinessPartyId reference to separate address entity
CUSTOMER,CUSTOMER_ADDR2,Customer,BusinessPartyId,Additional address line - Source inline vs Target normalized via BusinessPartyId
CUSTOMER,CUSTOMER_CITY,Customer,BusinessPartyId,City field - Source inline char(25) vs Target normalized address structure
CUSTOMER,CUSTOMER_STATE,Customer,BusinessPartyId,State field - Source inline char(2) vs Target normalized address structure
CUSTOMER,CUSTOMER_ZIP,Customer,BusinessPartyId,Zip code - Source inline char(9) vs Target normalized address structure
CUSTOMER,CHANGED,Customer,UpdatedDate,Last modification timestamp - Source datetime vs Target datetime2(7) with higher precision
CUSTOMER,CHANGED_BY,Customer,UpdatedBy,User who made last change - Source char(12) username vs Target uniqueidentifier user ID
CUSTOMER,SSN,Entity,SSN,Social Security Number - Both varchar(20) in Target Entity table; Source char(9)
CUSTOMER,FEDERAL_ID,Entity,EIN,Federal tax ID - Source FEDERAL_ID char(9) maps to Target EIN varchar(20)
CUSTOMER,FEDERAL_ID,Customer,TIN,Federal ID also maps to Customer TIN (Tax Identification Number) varchar(50)
CUSTOMER,STATE_ID,Entity,SIN,State identification - Source STATE_ID char(20) may map to Target SIN varchar(20)
CUSTOMER,ACCOUNT_CAREOF,Customer,BusinessPartyId,Account care-of address - Source inline vs Target normalized
CUSTOMER,ACCOUNT_ADDR1,Customer,BusinessPartyId,Account address line 1 - Source inline char(45) vs Target normalized
CUSTOMER,ACCOUNT_ADDR2,Customer,BusinessPartyId,Account address line 2 - Source inline vs Target normalized
CUSTOMER,ACCOUNT_ADDR3,Customer,BusinessPartyId,Account address line 3 - Source inline vs Target normalized
CUSTOMER,ACCOUNT_ADDR4,Customer,BusinessPartyId,Account address line 4 - Source inline vs Target normalized
CUSTOMER,CLIENT_CAREOF,Customer,BusinessPartyId,Client care-of address - Source inline char(45) vs Target normalized
CUSTOMER,N/A,Customer,OfficeCode,Target has OfficeCode nvarchar(25) - no direct Source equivalent
CUSTOMER,N/A,Customer,IsActive,Target has IsActive bit flag - Source lacks explicit active/inactive flag
CUSTOMER,N/A,Customer,CreatedBy,Target tracks creator uniqueidentifier - Source lacks creation audit
CUSTOMER,N/A,Customer,CreatedDate,Target tracks creation date datetime2(7) - Source lacks creation timestamp
CUSTOMER,N/A,Customer,CustomerNumber,Target has CustomerNumber varchar(50) - Source uses CUSTOMER char(3) as number
CUSTOMER,N/A,Customer,TCCNumber,Target has TCCNumber varchar(50) - no Source equivalent
CUSTOMER,N/A,Customer,UseMailingAddressAsPrimary,Target has mailing address flag bit - no Source equivalent
CUSTOMER,N/A,Customer,DeactivatedDate,Target tracks deactivation date - Source lacks deactivation audit
CUSTOMER,N/A,Customer,DeactivatedBy,Target tracks who deactivated uniqueidentifier - Source lacks this audit
CUSTOMER,N/A,Customer,IsZenithCustomer,Target has Zenith customer flag bit - no Source equivalent
CUSTOMER,CUSTOMER,Entity,EntityNumber,CUSTOMER code may also map to Entity EntityNumber varchar(50) for entity identification
CUSTOMER,N/A,Entity,EnterpriseId,Target Entity has EnterpriseId hierarchy - Source lacks enterprise level
CUSTOMER,CUSTOMER_NAME,Entity,EntityName,Customer name maps to Entity name nvarchar(130) in Target
CUSTOMER,N/A,Entity,CashOrAccuralBasisIndicator,Target has accounting basis indicator varchar(10) - no Source equivalent
CUSTOMER,N/A,Entity,EntityAddress,Target has EntityAddress nvarchar(255) - Source has multiple address fields
CUSTOMER,N/A,Entity,PreferredCurrencyId,Target has currency preference uniqueidentifier - no Source equivalent
CUSTOMER,N/A,Entity,UseMailingAddressAsPrimary,Target Entity has mailing address flag - no Source equivalent
CUSTOMER,N/A,Entity,ChartOfAccountsNameId,Target has COA reference uniqueidentifier - no Source equivalent
CUSTOMER,N/A,Entity,EntityTypeId,Target has entity type classification uniqueidentifier - Source uses CLIENT_GROUP
CUSTOMER,N/A,Entity,CurrentFiscalYear,Target tracks fiscal year int - no Source equivalent
CUSTOMER,N/A,Entity,CurrentOpenPeriod,Target tracks open period int - no Source equivalent
CUSTOMER,N/A,Entity,InceptionFicaslYear,Target tracks inception year int - no Source equivalent
CUSTOMER,N/A,Entity,InceptionFiscalPeriod,Target tracks inception period int - no Source equivalent
CUSTOMER,N/A,Entity,FinancialInstitutionId,Target has FI reference uniqueidentifier - no Source equivalent
CUSTOMER,N/A,Entity,Note,Target has notes field varchar(255) - no Source equivalent
CUSTOMER,N/A,Entity,CalendarPatternNameId,Target has calendar pattern uniqueidentifier - no Source equivalent
CUSTOMER,N/A,Entity,EntityShortName,Target has short name varchar(50) - no Source equivalent
CUSTOMER,N/A,Entity,IsCascadeDeactivation,Target has cascade deactivation flag bit - no Source equivalent
CUSTOMER,N/A,Enterprise,EnterpriseNumber,Target has enterprise level varchar(50) - Source lacks enterprise hierarchy
CUSTOMER,N/A,Enterprise,EnterpriseName,Target has enterprise name nvarchar(130) - Source lacks enterprise level
CUSTOMER,N/A,Enterprise,Description,Target Enterprise has description nvarchar(256) - no direct Source mapping
CUSTOMER,N/A,Enterprise,IsActive,Target Enterprise has active flag bit - no Source equivalent
CUSTOMER,N/A,Enterprise,CreatedBy,Target Enterprise tracks creator - no Source equivalent
CUSTOMER,N/A,Enterprise,CreatedDate,Target Enterprise tracks creation date - no Source equivalent
CUSTOMER,N/A,Enterprise,ModifiedBy,Target Enterprise tracks modifier - Source CUSTOMER has CHANGED_BY
CUSTOMER,N/A,Enterprise,ModifiedDate,Target Enterprise tracks modification date - Source CUSTOMER has CHANGED
CUSTOMER,N/A,Enterprise,DeactivatedDate,Target Enterprise tracks deactivation - no Source equivalent
CUSTOMER,N/A,Enterprise,DeactivatedBy,Target Enterprise tracks deactivator - no Source equivalent
CUSTOMER,N/A,Enterprise,IsCascadeDeactivation,Target Enterprise has cascade flag - no Source equivalent
CUSTOMER_SECURITY,USER_NAME,N/A,N/A,User security table in Source - no direct Target equivalent; Target may use separate identity/security system
CUSTOMER_SECURITY,CUSTOMER,N/A,N/A,Customer reference in security - Target likely uses separate authorization framework
CUSTOMER_SECURITY,CURRENT_FLAG,N/A,N/A,Current access flag char(1) - no Target equivalent in provided schema
CUSTOMER_SECURITY,EIN_CURRENT_FLAG,N/A,N/A,EIN access flag char(1) - no Target equivalent in provided schema
DBFILE,CUSTOMER,N/A,N/A,File management in Source - no direct Target equivalent for file storage metadata
DBFILE,CLIENT,N/A,N/A,Client reference in file system - no Target equivalent
DBFILE,DBFILE_RESOURCE,N/A,N/A,File resource identifier char(20) - no Target equivalent
DBFILE,DBFILE_PATH,N/A,N/A,File path char(100) - no Target equivalent
