Table Name,Attribute in Schema 1,Attribute in Schema 2,Attribute Mapping Notes
CUSTOMER,CUSTOMER,CustomerId,Primary identifier - Source uses char(3) CUSTOMER code; Target uses uniqueidentifier CustomerId. Requires transformation from legacy 3-char code to GUID.
CUSTOMER,CLIENT_GROUP,N/A,Source-only attribute - char(1) client group classification. No direct equivalent in Target schema. May map to CustomerTypeId conceptually.
CUSTOMER,CLIENT_GROUP_DESCRIPTION,Description,Descriptive field - Source char(45) CLIENT_GROUP_DESCRIPTION maps to Target varchar(255) Description. Target allows longer descriptions.
CUSTOMER,CUSTOMER_NAME,CustomerName,Entity name field - Source char(45) CUSTOMER_NAME maps to Target nvarchar(128) CustomerName. Target uses Unicode and different length constraint.
CUSTOMER,CUSTOMER_NAME2,N/A,Source-only attribute - char(45) secondary name field. No direct equivalent in Target. May need concatenation logic or storage in extended attributes.
CUSTOMER,CUSTOMER_ADDR,N/A,Source-only attribute - char(45) address line 1. Target schema uses BusinessPartyId reference to separate address entity rather than inline address fields.
CUSTOMER,CUSTOMER_ADDR2,N/A,Source-only attribute - char(45) address line 2. Target uses BusinessPartyId for address management.
CUSTOMER,CUSTOMER_CITY,N/A,Source-only attribute - char(25) city field. Target uses BusinessPartyId reference for address components.
CUSTOMER,CUSTOMER_STATE,N/A,Source-only attribute - char(2) state code. Target uses BusinessPartyId reference for address components.
CUSTOMER,CUSTOMER_ZIP,N/A,Source-only attribute - char(9) ZIP code. Target uses BusinessPartyId reference for address components.
CUSTOMER,CHANGED,ModifiedDate,Audit timestamp - Source datetime CHANGED maps to Target datetime2(7) UpdatedDate. Target uses higher precision datetime2 type.
CUSTOMER,CHANGED_BY,UpdatedBy,Audit user field - Source char(12) CHANGED_BY maps to Target uniqueidentifier UpdatedBy. Target uses GUID for user reference instead of username string.
CUSTOMER,SSN,N/A,Source-only PII attribute - char(9) Social Security Number. No direct equivalent in Target Customer table. Target Entity table has SSN field.
CUSTOMER,FEDERAL_ID,TIN,Tax identifier - Source char(9) FEDERAL_ID maps to Target varchar(50) TIN (Tax Identification Number). Target allows longer format and different naming convention.
CUSTOMER,STATE_ID,N/A,Source-only attribute - char(20) state identification number. No direct equivalent in Target schema.
CUSTOMER,ACCOUNT_CAREOF,N/A,Source-only attribute - char(45) account care-of address. Target uses BusinessPartyId for address management.
CUSTOMER,ACCOUNT_ADDR1,N/A,Source-only attribute - char(45) account address line 1. Target uses BusinessPartyId reference.
CUSTOMER,ACCOUNT_ADDR2,N/A,Source-only attribute - char(45) account address line 2. Target uses BusinessPartyId reference.
CUSTOMER,ACCOUNT_ADDR3,N/A,Source-only attribute - char(45) account address line 3. Target uses BusinessPartyId reference.
CUSTOMER,ACCOUNT_ADDR4,N/A,Source-only attribute - char(45) account address line 4. Target uses BusinessPartyId reference.
CUSTOMER,CLIENT_CAREOF,N/A,Source-only attribute - char(45) client care-of field. Target uses BusinessPartyId reference.
CUSTOMER,N/A,CustomerNumber,Target-only attribute - varchar(50) customer number. New field in Target for customer numbering system.
CUSTOMER,N/A,CustomerTypeId,Target-only attribute - uniqueidentifier reference to customer type classification. Replaces Source CLIENT_GROUP with normalized reference.
CUSTOMER,N/A,OfficeCode,Target-only attribute - nvarchar(25) office code for organizational hierarchy. New field in Target schema.
CUSTOMER,N/A,IsActive,Target-only attribute - bit flag for active status. Source lacks explicit active/inactive flag.
CUSTOMER,N/A,CreatedBy,Target-only audit attribute - uniqueidentifier for record creator. Source lacks creation audit trail.
CUSTOMER,N/A,CreatedDate,Target-only audit attribute - datetime2(7) for record creation timestamp. Source lacks creation timestamp.
CUSTOMER,N/A,TCCNumber,Target-only attribute - varchar(50) TCC number. New business identifier in Target schema.
CUSTOMER,N/A,UseMailingAddressAsPrimary,Target-only attribute - bit flag for address preference. New field for address management logic.
CUSTOMER,N/A,BusinessPartyId,Target-only attribute - uniqueidentifier reference to BusinessParty entity for normalized address/contact management. Architectural change from inline to referenced data.
CUSTOMER,N/A,DeactivatedDate,Target-only audit attribute - datetime for deactivation timestamp. Enhanced audit capability in Target.
CUSTOMER,N/A,DeactivatedBy,Target-only audit attribute - uniqueidentifier for user who deactivated record. Enhanced audit capability in Target.
CUSTOMER,N/A,IsZenithCustomer,Target-only attribute - bit flag indicating Zenith system customer. New business classification in Target.
CUSTOMER_SECURITY,USER_NAME,N/A,Source-only attribute - char(12) username for security access. Target schema does not have equivalent security table in provided DDL.
CUSTOMER_SECURITY,CUSTOMER,N/A,Source-only attribute - char(3) customer reference for security mapping. Target schema handles security differently.
CUSTOMER_SECURITY,CURRENT_FLAG,N/A,Source-only attribute - char(1) flag for current access status. No equivalent in Target schema.
CUSTOMER_SECURITY,EIN_CURRENT_FLAG,N/A,Source-only attribute - char(1) flag for EIN access status. No equivalent in Target schema.
DBFILE,CUSTOMER,CustomerId,Foreign key reference - Source char(3) CUSTOMER maps to Target uniqueidentifier CustomerId. Requires transformation from legacy code to GUID.
DBFILE,CLIENT,EntityNumber,Client/Entity identifier - Source char(4) CLIENT conceptually maps to Target varchar(50) EntityNumber. Different naming convention and data type.
DBFILE,DBFILE_RESOURCE,N/A,Source-only attribute - char(20) resource identifier. No direct equivalent in Target schema.
DBFILE,DBFILE_PATH,N/A,Source-only attribute - char(100) file path. Target may use DocumentId reference instead of inline path storage.
DBFILE,DBFILE_NAME,N/A,Source-only attribute - char(100) file name. Target may use DocumentId reference.
DBFILE,VERSION,N/A,Source-only attribute - int version number. No direct equivalent in Target schema.
DBFILE,DBFILE_ID,DocumentId,Document identifier - Source int DBFILE_ID conceptually maps to Target uniqueidentifier DocumentId. Data type change from int to GUID.
DBFILE,DBFILE_ENCODING,N/A,Source-only attribute - char(20) encoding specification. No direct equivalent in Target schema.
DBFILE,DESCRIPTION,Description,Descriptive field - Source char(45) DESCRIPTION maps to Target varchar(255) or nvarchar(256) Description fields. Target allows longer descriptions.
DBFILE,KILOBYTES,N/A,Source-only attribute - int file size in kilobytes. No direct equivalent in Target schema.
DBFILE,CREATED,CreatedDate,Audit timestamp - Source datetime CREATED maps to Target datetime or datetime2(7) CreatedDate. Target may use higher precision.
DBFILE,CREATED_BY,CreatedBy,Audit user field - Source char(31) CREATED_BY maps to Target uniqueidentifier CreatedBy. Target uses GUID for user reference.
DBFILE_DETAIL,CUSTOMER,CustomerId,Foreign key reference - Source char(3) CUSTOMER maps to Target uniqueidentifier CustomerId. Requires transformation.
DBFILE_DETAIL,DBFILE_ID,DocumentId,Document identifier reference - Source int DBFILE_ID conceptually maps to Target uniqueidentifier DocumentId. Data type transformation required.
DBFILE_DETAIL,DBFILE_LINE,N/A,Source-only attribute - int line number for file content sequencing. No direct equivalent in Target schema.
DBFILE_DETAIL,DBFILE_DATA,N/A,Source-only attribute - char(1024) file content data. Target may store document content differently.
DOCUMENT_ID,CUSTOMER,CustomerId,Foreign key reference - Source char(3) CUSTOMER maps to Target uniqueidentifier CustomerId. Requires transformation.
