Table Name,Attribute in Schema 1,Attribute in Schema 2,Attribute Mapping Notes
CUSTOMER → Customer,CUSTOMER [char(3)],CustomerId [uniqueidentifier],"Primary key transformation required: char(3) to GUID. Requires lookup/mapping table or NEWID() generation. Business key CUSTOMER should map to CustomerNumber for reference."
CUSTOMER → Customer,CUSTOMER [char(3)],CustomerNumber [varchar(50)],"Direct business key mapping. Source CUSTOMER (3-char code) maps to Target CustomerNumber. Data type conversion: char(3) → varchar(50) with padding/formatting as needed."
CUSTOMER → Customer,CLIENT_GROUP [char(1)],CustomerTypeId [uniqueidentifier],"Conceptual mapping: CLIENT_GROUP represents customer categorization. Requires lookup table to map char(1) codes to CustomerTypeId GUIDs. May need reference data migration."
CUSTOMER → Customer,CLIENT_GROUP_DESCRIPTION [char(45)],Description [varchar(255)],"Descriptive field mapping with data type expansion. char(45) → varchar(255). May concatenate with other descriptive fields if needed."
CUSTOMER → Customer,CUSTOMER_NAME [char(45)],CustomerName [nvarchar(128)],"Primary name field mapping. Data type conversion: char(45) → nvarchar(128). Unicode support added in target. Trim trailing spaces from source."
CUSTOMER → Customer,CUSTOMER_NAME2 [char(45)],CustomerName [nvarchar(128)],"Secondary name field. Concatenate CUSTOMER_NAME + CUSTOMER_NAME2 with space/delimiter into single CustomerName field if both populated. Handle nulls appropriately."
CUSTOMER → Customer,SSN [char(9)],TIN [varchar(50)],"Tax identifier mapping. SSN (Social Security Number) maps to TIN (Tax Identification Number). Data type: char(9) → varchar(50). Format with dashes if required (XXX-XX-XXXX)."
CUSTOMER → Customer,FEDERAL_ID [char(9)],TIN [varchar(50)],"Alternative tax identifier. FEDERAL_ID (EIN) also maps to TIN. Prioritize FEDERAL_ID over SSN for business entities. Apply formatting as needed."
CUSTOMER → Customer,STATE_ID [char(20)],TCCNumber [varchar(50)],"State identifier mapping to TCC (Tax Clearance Certificate) number. Data type: char(20) → varchar(50). Verify business rule alignment for this mapping."
CUSTOMER → Customer,CHANGED [datetime],UpdatedDate [datetime2(7)],"Audit timestamp mapping. datetime → datetime2(7) provides higher precision. Direct mapping with potential precision adjustment."
CUSTOMER → Customer,CHANGED_BY [char(12)],UpdatedBy [uniqueidentifier],"Audit user mapping. Requires user lookup: char(12) username → uniqueidentifier UserId. Needs user migration/mapping table."
CUSTOMER → Customer,N/A,CreatedBy [uniqueidentifier],"New required field in target. No source equivalent. Populate with system user GUID or derive from CHANGED_BY if CHANGED date equals creation date."
CUSTOMER → Customer,N/A,CreatedDate [datetime2(7)],"New required field in target. No source equivalent. Use earliest CHANGED date or system migration date as default."
CUSTOMER → Customer,N/A,IsActive [bit],"New required field. No direct source. Default to 1 (true) for all migrated records unless business rules indicate otherwise."
CUSTOMER → Customer,N/A,OfficeCode [nvarchar(25)],"New required field. No source equivalent. Populate from configuration/default value or derive from CLIENT_GROUP if applicable."
CUSTOMER → Customer,N/A,UseMailingAddressAsPrimary [bit],"New optional field. No source. Default to NULL or 0. May require post-migration configuration."
CUSTOMER → Customer,N/A,BusinessPartyId [uniqueidentifier],"New optional field for party relationship. No source. Leave NULL initially; populate through separate business party migration process."
CUSTOMER → Customer,N/A,DeactivatedDate [datetime],"New optional field. No source. Leave NULL for active customers."
CUSTOMER → Customer,N/A,DeactivatedBy [uniqueidentifier],"New optional field. No source. Leave NULL for active customers."
CUSTOMER → Customer,N/A,IsZenithCustomer [bit],"New required field. No source. Default to 0 (false) or set based on migration source identifier."
CUSTOMER → Customer,CUSTOMER_ADDR [char(45)],N/A (Address table),"Address fields in source (CUSTOMER_ADDR, CUSTOMER_ADDR2, CUSTOMER_CITY, CUSTOMER_STATE, CUSTOMER_ZIP) likely map to separate Address entity via BusinessPartyId. Requires address normalization and separate migration."
CUSTOMER → Customer,CUSTOMER_ADDR2 [char(45)],N/A (Address table),"Secondary address line. Combine with CUSTOMER_ADDR for complete address. Map to separate Address entity."
CUSTOMER → Customer,CUSTOMER_CITY [char(25)],N/A (Address table),"City component of address. Map to separate Address entity with proper normalization."
CUSTOMER → Customer,CUSTOMER_STATE [char(2)],N/A (Address table),"State code (2-char). Map to separate Address entity. Validate against standard state codes."
CUSTOMER → Customer,CUSTOMER_ZIP [char(9)],N/A (Address table),"ZIP/Postal code. Map to separate Address entity. Format validation (XXXXX or XXXXX-XXXX)."
CUSTOMER → Customer,ACCOUNT_CAREOF [char(45)],N/A (Address table),"Care of address field. Map to separate Address entity as attention/care-of line."
CUSTOMER → Customer,ACCOUNT_ADDR1 [char(45)],N/A (Address table),"Account address line 1. Map to separate Address entity for account/billing address."
CUSTOMER → Customer,ACCOUNT_ADDR2 [char(45)],N/A (Address table),"Account address line 2. Map to separate Address entity for account/billing address."
CUSTOMER → Customer,ACCOUNT_ADDR3 [char(45)],N/A (Address table),"Account address line 3. Map to separate Address entity for account/billing address."
CUSTOMER → Customer,ACCOUNT_ADDR4 [char(45)],N/A (Address table),"Account address line 4. Map to separate Address entity for account/billing address."
CUSTOMER → Customer,CLIENT_CAREOF [char(45)],N/A (Address table),"Client care of field. Map to separate Address entity as attention line."
CUSTOMER → Entity,CUSTOMER [char(3)],CustomerId [uniqueidentifier],"Alternative mapping: CUSTOMER may also represent Entity level. Requires business rule clarification on Customer vs Entity hierarchy. Map to Entity.CustomerId with lookup."
CUSTOMER → Entity,CUSTOMER [char(3)],EntityNumber [varchar(50)],"Business key mapping if CUSTOMER represents entity. char(3) → varchar(50). Use as EntityNumber for reference."
CUSTOMER → Entity,CUSTOMER_NAME [char(45)],EntityName [nvarchar(130)],"Entity name mapping. char(45) → nvarchar(130). Concatenate CUSTOMER_NAME + CUSTOMER_NAME2 if needed."
CUSTOMER → Entity,SSN [char(9)],SSN [varchar(20)],"Direct SSN mapping at entity level. char(9) → varchar(20). Format with dashes if required."
CUSTOMER → Entity,SSN [char(9)],SIN [varchar(20)],"Alternative: SSN may map to SIN (Social Insurance Number) for Canadian entities. Verify jurisdiction."
CUSTOMER → Entity,FEDERAL_ID [char(9)],EIN [varchar(20)],"Direct EIN (Employer Identification Number) mapping. char(9) → varchar(20). Format XX-XXXXXXX."
CUSTOMER → Entity,CHANGED [datetime],ModifiedDate [datetime],"Audit timestamp. datetime → datetime. Direct mapping."
CUSTOMER → Entity,CHANGED_BY [char(12)],ModifiedBy [uniqueidentifier],"Audit user. Requires user lookup: char(12) → uniqueidentifier."
CUSTOMER → Entity,N/A,Id [uniqueidentifier],"Primary key. Generate new GUID for each entity record."
CUSTOMER → Entity,N/A,EnterpriseId [uniqueidentifier],"Parent enterprise reference. Populate based on business hierarchy rules or leave NULL if customer is top-level."
CUSTOMER → Entity,N/A,IsActive [bit],"Active status. Default to 1 (true) for migrated records."
CUSTOMER → Entity,N/A,CreatedBy [uniqueidentifier],"Creation audit. Populate with system user or derive from CHANGED_BY."
CUSTOMER → Entity,N/A,CreatedDate [datetime],"Creation timestamp. Use earliest CHANGED date or migration date."
